periodo,fben
10/2021,963.091
09/2021,963.125
08/2021,963.125
07/2021,964.128
06/2021,964.132
05/2021,964.134
04/2021,964.115
03/2021,961.813
02/2021,957.786
01/2021,963.449
12/2020,965.697
11/2020,965.685
10/2020,965.702
09/2020,965.702
08/2020,966.092
07/2020,966.116
06/2020,966.117
05/2020,966.117
04/2020,965.856
03/2020,918.991
02/2020,922.755
01/2020,923.314
12/2019,925.135
11/2019,926.505
10/2019,947.855
09/2019,950.21
08/2019,965.567
07/2019,967.507
06/2019,976.805
05/2019,990.332
04/2019,977.115
03/2019,975.42
02/2019,964.196
01/2019,954.372
12/2018,966.673
11/2018,972.654
10/2018,957.212
09/2018,947.586
08/2018,958.618
07/2018,949.758
06/2018,944.283
05/2018,943.41
04/2018,934.273
03/2018,947.811
02/2018,946.109
01/2018,941.153
12/2017,931.009
11/2017,922.067
10/2017,921.375
09/2017,910.18
08/2017,914.009
07/2017,868.618
06/2017,894.108
05/2017,896.965
04/2017,909.21
03/2017,919.377
02/2017,922.043
01/2017,916.73
12/2016,898.914
11/2016,896.253
10/2016,910.399
09/2016,912.388
08/2016,901.664
07/2016,904.678
06/2016,910.221
05/2016,912.079
04/2016,915.78
03/2016,914.477
02/2016,913.363
01/2016,913.985
12/2015,890.127
11/2015,885.315
10/2015,893.338
09/2015,865.63
08/2015,871.823
07/2015,872.964
06/2015,870.897
05/2015,873.68
04/2015,874.178
03/2015,886.273
02/2015,887.241
01/2015,886.667
12/2014,887.426
11/2014,889.818
10/2014,888.083
09/2014,887.633
08/2014,885.68
07/2014,898.043
06/2014,883.081
05/2014,873.712
04/2014,881.553
03/2014,874.992
02/2014,863.091
01/2014,861.315
12/2013,860.572
11/2013,836.692
10/2013,836.436
09/2013,836.429
08/2013,829.914
07/2013,821.244
06/2013,809.138
05/2013,818.474
04/2013,814.791
03/2013,819.782
02/2013,796.352
01/2013,810.305
12/2012,813.367
11/2012,811.073
10/2012,808.111
09/2012,806.466
08/2012,809.589
07/2012,792.445
06/2012,789.225
05/2012,791.848
04/2012,788.614
03/2012,786.332
02/2012,783.445
01/2012,774.176
12/2011,772.279
11/2011,767.136
10/2011,757.284
09/2011,754.803
08/2011,686.487
07/2011,691.477
06/2011,691.857
05/2011,693.601
04/2011,697.35
03/2011,691.083
02/2011,690.463
01/2011,683.061
12/2010,680.804
11/2010,678.576
10/2010,674.681
09/2010,679.676
08/2010,678.917
07/2010,671.713
06/2010,666.723
05/2010,664.325
04/2010,666.364
03/2010,663.252
02/2010,661.728
01/2010,646.724
12/2009,635.204
11/2009,638.124
10/2009,637.967
09/2009,619.42
08/2009,620.183
07/2009,576.408
06/2009,577.104
05/2009,574.299
04/2009,556.762
03/2009,553.249
02/2009,551.764
01/2009,550.435
12/2008,528.997
11/2008,534.469
10/2008,533.474
09/2008,537.413
08/2008,538.05
07/2008,539.129
06/2008,541.618
05/2008,541
04/2008,537.276
03/2008,535.218
02/2008,541.966
01/2008,538.427
12/2007,532.755
11/2007,531.446
10/2007,532.313
09/2007,528.133
08/2007,526.611
07/2007,524.921
06/2007,521.056
05/2007,530.977
04/2007,524.78
03/2007,520.162
02/2007,513.826
01/2007,507.434
12/2006,506.444
11/2006,507.451
10/2006,497.105
09/2006,497.169
08/2006,499.879
07/2006,499.657
06/2006,495.88
05/2006,426.321
04/2006,375.191
03/2006,359.322
02/2006,351.788
01/2006,340.507
12/2005,337.694
11/2005,320.384
10/2005,314.772
09/2005,300.843
08/2005,295.122
07/2005,289.48
06/2005,275.374
05/2005,274.884
04/2005,264.922
03/2005,259.463
02/2005,259.453
01/2005,259.904
12/2004,259.641
11/2004,233.356
10/2004,213.881
09/2004,207.651
08/2004,187.394
07/2004,160.462
06/2004,159.869
05/2004,157.416
04/2004,144.292
03/2004,141.324
02/2004,139.248
01/2004,139.248
